title,listed_in,description,new_description,cluster_id,,,
The Consul's Son,"Comedies, International Movies, Thrillers",A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.,a notorious forger known for his ability to create fake passports and visas finds himself the target of a con man s ruse,19,,,
The Craft,"Horror Movies, Thrillers","At a Catholic school, a new girl falls in with a clique of teen witches who wield their powers against anyone who crosses them, even their parents.",at a catholic school a new girl falls in with a clique of teen witches who wield their powers against anyone who crosses them even their parents,24,,,
The Croods,"Children & Family Movies, Comedies","When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home.",when an earthquake obliterates their cave an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home,10,,,
The Crow,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy","One year after Eric Draven and his fiancÃ©e are murdered, Draven â€“ watched over by a hypnotic crow â€“ returns from the grave to exact revenge.",one year after eric draven and his fiancÃ©e are murdered draven â€“ watched over by a hypnotic crow â€“ returns from the grave to exact revenge,23,,,
The Cruise,"Comedies, Cult Movies, International Movies","When the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director, wild and wacky hijinks ensue.",when the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director wild and wacky hijinks ensue,5,,,
The Crying Game,"Classic Movies, Independent Movies, Thrillers","IRA terrorist Fergus bonds with his prisoner, Jody. Jody tells Fergus of his girlfriend, Dil, with whom Fergus later falls in love.",ira terrorist fergus bonds with his prisoner jody jody tells fergus of his girlfriend dil with whom fergus later falls in love,23,,,
The D Train,Comedies,A loser in charge of planning his high school class's 20-year reunion thinks he's scored a major coup when he gets a marginally famous alum to attend.,a loser in charge of planning his high school class s 20 year reunion thinks he s scored a major coup when he gets a marginally famous alum to attend,24,,,
The Damned Rain,"Dramas, International Movies","An optimistic farmer is determined to succeed in spite of the lack of rain in his region, and the sinking spirits around him.",an optimistic farmer is determined to succeed in spite of the lack of rain in his region and the sinking spirits around him,11,,,
The Dancer,"Dramas, International Movies, Romantic Movies","Orphaned by a tragedy that took the lives of her parents, Srintil grows up in a poor Indonesian village aspiring to be a sacred dancer.",orphaned by a tragedy that took the lives of her parents srintil grows up in a poor indonesian village aspiring to be a sacred dancer,14,,,
The Dark Crystal,Children & Family Movies,"In this mythical tale, Jen, the last of the Gelfling race, is charged with healing the Crystal of Truth after its mutilation sets off an era of terror.",in this mythical tale jen the last of the gelfling race is charged with healing the crystal of truth after its mutilation sets off an era of terror,10,,,
The Dark Side of Life: Mumbai City,"Dramas, International Movies","Struggling with Mumbai's pressures and private battles with depression, six lives intersect just as they reach a breaking point.",struggling with mumbai s pressures and private battles with depression six lives intersect just as they reach a breaking point,16,,,
The Darkest Dawn,"Action & Adventure, Independent Movies, International Movies",An aspiring filmmaker records the chaos of an alien invasion while struggling to stay alive with her sister and a bickering band of survivors.,an aspiring filmmaker records the chaos of an alien invasion while struggling to stay alive with her sister and a bickering band of survivors,13,,,
The Daughter,Dramas,"Having returned home for his cagey father's wedding, an estranged man gets to know his childhood friend's family and uncovers a devastating secret.",having returned home for his cagey father s wedding an estranged man gets to know his childhood friend s family and uncovers a devastating secret,23,,,
The Dawn Wall,"Documentaries, Sports Movies",Cameras follow Tommy Caldwell and Kevin Jorgeson as they take on the staggering challenge of free-climbing Yosemiteâ€™s most formidable rock formation.,cameras follow tommy caldwell and kevin jorgeson as they take on the staggering challenge of free climbing yosemiteâ€™s most formidable rock formation,6,,,
The Departed,"Dramas, Thrillers",Two rookie Boston cops are sent deep undercover â€“ one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.,two rookie boston cops are sent deep undercover â€“ one inside the gang of a charismatic irish mob boss and the other double crossing his own department,22,,,
The Desert Bride,"Dramas, International Movies","While traveling across Argentina to a new job, a longtime maid encounters a salesman who opens her eyes to life's beauty and possibilities.",while traveling across argentina to a new job a longtime maid encounters a salesman who opens her eyes to life s beauty and possibilities,12,,,
The Detained,"Horror Movies, Thrillers",Five high school students serving Saturday detention in a former corrections facility must find a way to outsmart an unseen menace out to kill them.,five high school students serving saturday detention in a former corrections facility must find a way to outsmart an unseen menace out to kill them,24,,,
